case_id,seed,mode,error_mode,variant,completed,stop_reason,grid,active,side,stations_total,stations_visited,discovered_channels,cleared_channels,discovery_certificate,virtual_time_s,runtime_s,fallback_channels,no_signal_localization,safe_clears,optimistic_clears,active_queries,fallback_attempts,source_count,directional_count,cleared,clear_ratio,time_per_source_s,distance_m,measures,switches,clear_failures
SELF-Q4-edge_outward-plus_one-10000,10000,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,28,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 19]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 19]",count_upper_bound,12835.209597577827,0.01679650000000521,6,50,9,4,24,268,16,15,16,1.0,802.2005998486142,47046.04798788915,429,406,265
SELF-Q4-edge_outward-plus_one-10001,10001,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,30,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 4, 5, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]",count_upper_bound,13334.976411957034,0.0186867919999969,6,49,7,3,18,402,16,15,16,1.0,833.4360257473146,48889.8820597852,385,364,396
SELF-Q4-edge_outward-plus_one-10002,10002,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,30,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19]","[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19]",count_upper_bound,11346.686121862049,0.01073733300000157,2,24,13,4,11,76,16,15,16,1.0,709.167882616378,42218.43060931027,435,417,77
SELF-Q4-edge_outward-plus_one-10003,10003,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,30,"[1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20]",count_upper_bound,12096.091341380115,0.012104125000000465,4,34,11,1,14,104,16,15,16,1.0,756.0057088362572,44425.456706900564,475,456,100
SELF-Q4-edge_outward-plus_one-10004,10004,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,27,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]","[1, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]",count_upper_bound,10164.502129427765,0.009258916999996814,2,22,14,1,7,49,16,15,16,1.0,635.2813830892353,38787.51064713884,366,353,48
SELF-Q4-edge_outward-plus_one-10005,10005,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,30,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19]",count_upper_bound,13523.277911491356,0.017954082999999343,6,54,10,2,22,313,16,15,16,1.0,845.2048694682097,48316.389557456794,480,453,309
SELF-Q4-edge_outward-plus_one-10006,10006,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,28,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20]",count_upper_bound,13669.972337616064,0.01826787499999938,5,42,10,4,24,357,16,15,16,1.0,854.373271101004,50129.86168808033,421,394,355
SELF-Q4-edge_outward-plus_one-10007,10007,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 20]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 20]",count_upper_bound,13511.366938616027,0.01634141699999958,5,31,9,2,15,295,16,15,16,1.0,844.4604336635017,49421.83469308018,450,427,290
SELF-Q4-edge_outward-plus_one-10008,10008,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,28,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20]","[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20]",count_upper_bound,13858.104907676832,0.01943466699999874,6,50,10,3,27,413,16,15,16,1.0,866.131556729802,50245.5245383842,421,394,410
SELF-Q4-edge_outward-plus_one-10009,10009,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,30,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20]","[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20]",count_upper_bound,13302.457323823784,0.016406125000003158,5,39,8,5,18,284,16,15,16,1.0,831.4035827389865,48607.28661911896,447,423,281
SELF-Q4-edge_outward-plus_one-10010,10010,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,990.0,31,28,"[1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]","[1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]",count_upper_bound,12182.077052111792,0.014482541999996101,5,41,10,2,16,227,16,15,16,1.0,761.379815756987,45640.38526055898,387,370,223
